name,description,price,category,subcategory,image_url,protein,carbs,fats,calories,restaurant,cuisine,id,created_date,updated_date,created_by_id,created_by,is_sample
"Palak Paneer with Brown Rice","Fresh spinach curry with cottage cheese cubes, served with nutritious brown rice","240","diet","healthy","https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400","22","45","12","380","Hangout Cafe","North Indian","690340dcd68706a35aeb750d","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Grilled Tandoori Chicken","Tender chicken marinated in yogurt and spices, grilled to perfection","280","diet","healthy","https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?w=400","38","8","10","280","Hangout Cafe","North Indian","690340dcd68706a35aeb750e","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Vegetable Upma","Healthy South Indian semolina dish with mixed vegetables and spices","120","diet","healthy","https://images.unsplash.com/photo-1630383249896-424e482df921?w=400","8","42","6","250","Hangout Cafe","South Indian","690340dcd68706a35aeb750f","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Grilled Fish Tikka","Marinated fish pieces grilled with Indian spices","320","diet","healthy","https://images.unsplash.com/photo-1625937286074-9ca519d5d9df?w=400","35","6","14","290","Hangout Cafe","North Indian","690340dcd68706a35aeb7511","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Mixed Vegetable Salad","Fresh seasonal vegetables with lemon dressing and roasted peanuts","140","diet","healthy","https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?w=400","8","18","8","180","Hangout Cafe","Continental","690340dcd68706a35aeb7512","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Ragi Dosa with Sambar","Nutritious finger millet dosa served with lentil vegetable stew","100","diet","healthy","https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=400","12","38","5","240","Hangout Cafe","South Indian","690340dcd68706a35aeb7513","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Sprouts Chaat","Healthy mix of sprouted lentils with onions, tomatoes and tangy dressing","110","diet","healthy","https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=400","18","28","6","230","Hangout Cafe","Street Food","690340dcd68706a35aeb7514","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Oats Idli","Steamed oats cakes, a healthy twist to traditional idli","90","diet","healthy","https://images.unsplash.com/photo-1630383249896-424e482df921?w=400","10","32","4","200","Hangout Cafe","South Indian","690340dcd68706a35aeb7515","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Butter Chicken with Naan","Creamy tomato-based chicken curry served with soft butter naan","350","non-diet","junk","https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=400","32","58","35","680","Hangout Cafe","North Indian","690340dcd68706a35aeb7517","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Paneer Tikka Masala","Rich and creamy cottage cheese curry with Indian spices","280","non-diet","junk","https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=400","24","45","28","550","Hangout Cafe","North Indian","690340dcd68706a35aeb7518","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Cheese Burst Pizza","Loaded pizza with extra cheese and mixed toppings","450","non-diet","junk","https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=400","28","65","38","750","Hangout Cafe","Italian","690340dcd68706a35aeb7519","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Pav Bhaji","Spicy mixed vegetable curry served with buttered bread rolls","150","non-diet","junk","https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=400","12","55","24","480","Hangout Cafe","Street Food","690340dcd68706a35aeb751a","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Vada Pav","Mumbai's favorite street food - spicy potato fritter in bread bun","40","non-diet","junk","https://images.unsplash.com/photo-1626074353765-517a681e40be?w=400","8","48","18","380","Hangout Cafe","Street Food","690340dcd68706a35aeb751b","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Chole Bhature","Spicy chickpea curry with deep-fried fluffy bread","160","non-diet","junk","https://images.unsplash.com/photo-1626074353765-517a681e40be?w=400","18","72","32","650","Hangout Cafe","North Indian","690340dcd68706a35aeb751c","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Chicken Biryani","Aromatic basmati rice layered with spiced chicken and fried onions","280","non-diet","junk","https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=400","35","68","28","680","Hangout Cafe","Hyderabadi","690340dcd68706a35aeb751d","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Samosa Chaat","Crispy samosas topped with chickpeas, yogurt, and chutneys","100","non-diet","junk","https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400","10","52","22","450","Hangout Cafe","Street Food","690340dcd68706a35aeb751e","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Masala Dosa","Crispy rice crepe filled with spiced potato filling","80","non-diet","junk","https://images.unsplash.com/photo-1668236543090-82eba5ee5976?w=400","8","58","15","400","Hangout Cafe","South Indian","690340dcd68706a35aeb751f","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Paneer Paratha with Butter","Flatbread stuffed with spiced cottage cheese, served with butter","120","non-diet","junk","https://images.unsplash.com/photo-1626074353765-517a681e40be?w=400","16","48","24","480","Hangout Cafe","North Indian","690340dcd68706a35aeb7520","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Chocolate Brownie with Ice Cream","Warm chocolate brownie topped with vanilla ice cream","150","non-diet","junk","https://images.unsplash.com/photo-1607920591413-4ec007e70023?w=400","6","62","28","540","Hangout Cafe","Dessert","690340dcd68706a35aeb7522","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"French Fries","Crispy golden potato fries with seasoning","100","non-diet","junk","https://images.unsplash.com/photo-1573080496219-bb080dd4f877?w=400","4","48","22","400","Hangout Cafe","Fast Food","690340dcd68706a35aeb7523","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Vegetable Pulao","Fragrant basmati rice cooked with mixed vegetables and mild spices","130","diet","healthy","https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=400","8","48","6","280","Hangout Cafe","North Indian","690340dcd68706a35aeb7525","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Aloo Tikki Burger","Spicy potato patty burger with cheese and sauces","80","non-diet","junk","https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=400","10","52","20","430","Hangout Cafe","Fast Food","690340dcd68706a35aeb7526","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Paneer Sandwich","Grilled sandwich with spiced cottage cheese and vegetables","90","non-diet","junk","https://images.unsplash.com/photo-1528735602780-2552fd46c7af?w=400","14","42","18","380","Hangout Cafe","Continental","690340dcd68706a35aeb7527","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Ras Malai","Soft cheese dumplings in sweetened thickened milk with cardamom","100","non-diet","junk","https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?w=400","8","45","15","350","Hangout Cafe","Indian Dessert","690340dcd68706a35aeb7528","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Chicken Tikka Roll","Grilled chicken tikka wrapped in soft paratha with mint chutney","140","non-diet","junk","https://images.unsplash.com/photo-1626074353765-517a681e40be?w=400","24","45","18","450","Hangout Cafe","Street Food","690340dcd68706a35aeb7529","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
"Vegetable Cutlet","Crispy fried vegetable patties served with green chutney","70","non-diet","junk","https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400","6","38","15","310","Hangout Cafe","Street Food","690340dcd68706a35aeb752a","2025-10-30T10:41:32.537000","2025-10-30T10:41:32.537000","6903389916599ad0d6cfcc63","jakhmolaayush3@gmail.com","false"
